run,db,llm,embedding_model,chunk_size,chunk_overlap,memory_rss,memory_vms,memory_peak_wset
150,milvus,mistral,all-MiniLM-L6-v2,1000,100,59.12576,96.763904,0.0
151,redis,mistral,all-mpnet-base-v2,1000,100,331.767808,376.901632,0.0
152,chroma,mistral,all-mpnet-base-v2,1000,100,364.46208,445.976576,0.0
153,milvus,mistral,all-mpnet-base-v2,1000,100,363.343872,444.66176,0.0
154,redis,llama3.2,nomic-embed-text,1000,100,-0.057344,-0.1024,0.0
155,chroma,llama3.2,nomic-embed-text,1000,100,1.789952,1.847296,0.0
156,milvus,llama3.2,nomic-embed-text,1000,100,-0.802816,-0.864256,0.0
157,redis,llama3.2,all-MiniLM-L6-v2,1000,100,30.666752,66.813952,0.0
158,chroma,llama3.2,all-MiniLM-L6-v2,1000,100,1.847296,1.851392,0.0
159,milvus,llama3.2,all-MiniLM-L6-v2,1000,100,58.81856,96.432128,0.0
160,redis,llama3.2,all-mpnet-base-v2,1000,100,332.365824,377.58976,0.0
161,chroma,llama3.2,all-mpnet-base-v2,1000,100,358.445056,446.255104,0.0
162,milvus,llama3.2,all-mpnet-base-v2,1000,100,362.831872,444.186624,0.0
